ingestion_year;ingestion_month;ingestion_day;id_sistema_cliente;macroactivo;cod_activo;aba;cod_perfil_riesgo;cod_banca;year;month
2023;12;20;10039616197;Renta Variable;1004;2370000;1466;PN;2023;12
2023;12;4;10039616197;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;13;10039616197;Renta Variable;1004;2460000;1466;PN;2023;12
2023;12;21;10039616197;Renta Variable;1004;2335000;1466;PN;2023;12
2023;12;6;10039616197;Renta Variable;1004;2515000;1466;PN;2023;12
2023;12;18;10039616197;Renta Variable;1004;2365000;1466;PN;2023;12
2023;12;19;10039616197;Renta Variable;1004;2340000;1466;PN;2023;12
2023;12;11;10039616197;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;14;10039616197;Renta Variable;1004;2500000;1466;PN;2023;12
2023;12;1;10039616197;Renta Variable;1004;2520000;1466;PN;2023;12
2023;12;8;10039616197;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;15;10039616197;Renta Variable;1004;2555000;1466;PN;2023;12
2023;12;1;10039616197;Renta Variable;1004;2520000;1466;PN;2023;12
2023;12;14;10039616197;Renta Variable;1004;2500000;1466;PN;2023;12
2023;12;8;10039616197;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;6;10039616197;Renta Variable;1004;2515000;1466;PN;2023;12
2023;12;21;10039616197;Renta Variable;1004;2335000;1466;PN;2023;12
2023;12;11;10039616197;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;18;10039616197;Renta Variable;1004;2365000;1466;PN;2023;12
2023;12;15;10039616197;Renta Variable;1004;2555000;1466;PN;2023;12
2023;12;5;10039616197;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;19;10039616197;Renta Variable;1004;2340000;1466;PN;2023;12
2023;12;5;10039616197;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;7;10039616197;Renta Variable;1004;2455000;1466;PN;2023;12
2023;12;7;10039616197;Renta Variable;1004;2455000;1466;PN;2023;12
2023;12;12;10039616197;Renta Variable;1004;2510000;1466;PN;2023;12
2023;12;12;10039616197;Renta Variable;1004;2510000;1466;PN;2023;12
2023;12;14;10036346714;Renta Variable;1004;1250000;1466;PN;2023;12
2023;12;11;10036346714;Renta Variable;1004;1232500;1466;PN;2023;12
2023;12;19;10036346714;Renta Variable;1004;1170000;1466;PN;2023;12
2023;12;6;10036346714;Renta Variable;1004;1257500;1466;PN;2023;12
2023;12;1;10036346714;Renta Variable;1004;1260000;1466;PN;2023;12
2023;12;18;10036346714;Renta Variable;1004;1182500;1466;PN;2023;12
2023;12;12;10036346714;Renta Variable;1004;1255000;1466;PN;2023;12
2023;12;21;10036346714;Renta Variable;1004;1167500;1466;PN;2023;12
2023;12;7;10036346714;Renta Variable;1004;1227500;1466;PN;2023;12
2023;12;4;10036346714;Renta Variable;1004;1272500;1466;PN;2023;12
2023;12;8;10036346714;Renta Variable;1004;1232500;1466;PN;2023;12
2023;12;15;10036346714;Renta Variable;1004;1277500;1466;PN;2023;12
2023;12;20;10036346714;Renta Variable;1004;1185000;1466;PN;2023;12
2023;12;13;10036346714;Renta Variable;1004;1230000;1466;PN;2023;12
2023;12;5;10036346714;Renta Variable;1004;1272500;1466;PN;2023;12
2023;12;20;10021382511;Renta Variable;1004;2370000;1466;PN;2023;12
2023;12;7;10021382511;Renta Variable;1004;2455000;1466;PN;2023;12
2023;12;4;10021382511;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;6;10021382511;Renta Variable;1004;2515000;1466;PN;2023;12
2023;12;13;10021382511;Renta Variable;1004;2460000;1466;PN;2023;12
2023;12;12;10021382511;Renta Variable;1004;2510000;1466;PN;2023;12
2023;12;21;10021382511;Renta Variable;1004;2335000;1466;PN;2023;12
2023;12;5;10021382511;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;14;10021382511;Renta Variable;1004;2500000;1466;PN;2023;12
2023;12;11;10021382511;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;1;10021382511;Renta Variable;1004;2520000;1466;PN;2023;12
2023;12;15;10021382511;Renta Variable;1004;2555000;1466;PN;2023;12
2023;12;19;10021382511;Renta Variable;1004;2340000;1466;PN;2023;12
2023;12;8;10021382511;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;18;10021382511;Renta Variable;1004;2365000;1466;PN;2023;12
2023;12;13;100105000000000000;Renta Variable;1004;2460000;1466;PN;2023;12
2023;12;6;100105000000000000;Renta Variable;1004;2515000;1466;PN;2023;12
2023;12;8;100105000000000000;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;15;100105000000000000;Renta Variable;1004;2555000;1466;PN;2023;12
2023;12;18;100105000000000000;Renta Variable;1004;2365000;1466;PN;2023;12
2023;12;21;100105000000000000;Renta Variable;1004;2335000;1466;PN;2023;12
2023;12;12;100105000000000000;Renta Variable;1004;2510000;1466;PN;2023;12
2023;12;11;100105000000000000;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;4;100105000000000000;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;1;100105000000000000;Renta Variable;1004;2520000;1466;PN;2023;12
2023;12;14;100105000000000000;Renta Variable;1004;2500000;1466;PN;2023;12
2023;12;19;100105000000000000;Renta Variable;1004;2340000;1466;PN;2023;12
2023;12;20;100105000000000000;Renta Variable;1004;2370000;1466;PN;2023;12
2023;12;5;100105000000000000;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;7;100105000000000000;Renta Variable;1004;2455000;1466;PN;2023;12
2023;12;20;10079414250;Renta Variable;1004;1185000;1466;PN;2023;12
2023;12;8;10079414250;Renta Variable;1004;1232500;1466;PN;2023;12
2023;12;19;10079414250;Renta Variable;1004;1170000;1466;PN;2023;12
2023;12;12;10079414250;Renta Variable;1004;1255000;1466;PN;2023;12
2023;12;4;10079414250;Renta Variable;1004;1272500;1466;PN;2023;12
2023;12;14;10079414250;Renta Variable;1004;1250000;1466;PN;2023;12
2023;12;18;10079414250;Renta Variable;1004;1182500;1466;PN;2023;12
2023;12;1;10079414250;Renta Variable;1004;1260000;1466;PN;2023;12
2023;12;5;10079414250;Renta Variable;1004;1272500;1466;PN;2023;12
2023;12;21;10079414250;Renta Variable;1004;1167500;1466;PN;2023;12
2023;12;15;10079414250;Renta Variable;1004;1277500;1466;PN;2023;12
2023;12;11;10079414250;Renta Variable;1004;1232500;1466;PN;2023;12
2023;12;13;10079414250;Renta Variable;1004;1230000;1466;PN;2023;12
2023;12;7;10079414250;Renta Variable;1004;1227500;1466;PN;2023;12
2023;12;6;10079414250;Renta Variable;1004;1257500;1466;PN;2023;12
2023;12;6;10079414250;Renta Variable;1004;1257500;1466;PN;2023;12
2023;12;20;100114000000000000;Renta Variable;1004;2370000;1466;PN;2023;12
2023;12;8;100114000000000000;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;18;100114000000000000;Renta Variable;1004;2365000;1466;PN;2023;12
2023;12;4;100114000000000000;Renta Variable;1004;2545000;1466;PN;2023;12
2023;12;14;100114000000000000;Renta Variable;1004;2500000;1466;PN;2023;12
2023;12;6;100114000000000000;Renta Variable;1004;2515000;1466;PN;2023;12
2023;12;13;100114000000000000;Renta Variable;1004;2460000;1466;PN;2023;12
2023;12;12;100114000000000000;Renta Variable;1004;2510000;1466;PN;2023;12
2023;12;15;100114000000000000;Renta Variable;1004;2555000;1466;PN;2023;12
2023;12;21;100114000000000000;Renta Variable;1004;2335000;1466;PN;2023;12
2023;12;7;100114000000000000;Renta Variable;1004;2455000;1466;PN;2023;12
2023;12;1;100114000000000000;Renta Variable;1004;2520000;1466;PN;2023;12
2023;12;11;100114000000000000;Renta Variable;1004;2465000;1466;PN;2023;12
2023;12;19;100114000000000000;Renta Variable;1004;2340000;1466;PN;2023;12
2023;12;14;10098522488;Renta Variable;1004;3750000;1466;PN;2023;12
2023;12;7;10098522488;Renta Variable;1004;3682500;1466;PN;2023;12
2023;12;13;10098522488;Renta Variable;1004;3690000;1466;PN;2023;12
2023;12;1;10098522488;Renta Variable;1004;3780000;1466;PN;2023;12
2023;12;8;10098522488;Renta Variable;1004;3697500;1466;PN;2023;12
2023;12;15;10098522488;Renta Variable;1004;3832500;1466;PN;2023;12
2023;12;11;10098522488;Renta Variable;1004;3697500;1466;PN;2023;12
2023;12;19;10098522488;Renta Variable;1004;3510000;1466;PN;2023;12
2023;12;21;10098522488;Renta Variable;1004;3502500;1466;PN;2023;12
2023;12;4;10098522488;Renta Variable;1004;3817500;1466;PN;2023;12
2023;12;5;10098522488;Renta Variable;1004;3817500;1466;PN;2023;12
2023;12;6;10098522488;Renta Variable;1004;3772500;1466;PN;2023;12
2023;12;20;10098522488;Renta Variable;1004;3555000;1466;PN;2023;12
